ptid,polyid,acres,perim_m,lat,lon,date,outdate,parentid,parentac,name,tundra,maritime,boreal,BERING_TAI,ALEUTIAN_M,ALASKA_RAN,ARCTIC_TUN,COASTAL_RA,PACIFIC_MO,INTERMONTA,COAST_MOUN,BERING_TUN,FID_1,acres_1
2787,3276,1.212,457,63.459062,-152.769001,7/10/1990,8/31/1990,938,55041.9,31061,0,0,4500,0,0,0,0,0,0,4500,0,0,3276,1.212
2790,3277,1.611,471,63.460928,-152.769606,7/10/1990,8/31/1990,938,55041.9,31061,0,0,6300,0,0,0,0,0,0,6300,0,0,3277,1.611
2777,3278,60.597,3099,63.455058,-152.762404,7/10/1990,8/31/1990,938,55041.9,31061,0,0,243000,0,0,0,0,0,0,243000,0,0,3278,60.597
2793,3279,0.846,382,63.462312,-152.772791,7/10/1990,8/31/1990,938,55041.9,31061,0,0,3600,0,0,0,0,0,0,3600,0,0,3279,0.846
2806,3281,26.779,3183,63.477099,-152.777358,7/10/1990,8/31/1990,938,55041.9,31061,0,0,108000,0,0,0,0,0,0,108000,0,0,3281,26.779
2475,3282,44566.425,116908,63.391041,-152.837202,7/10/1990,8/31/1990,938,55041.9,31061,0,0,180395100,0,0,0,0,0,0,180395100,0,0,3282,44566.425
2784,3283,1293.139,15243,63.459052,-152.831537,7/10/1990,8/31/1990,938,55041.9,31061,0,0,5230800,0,0,0,0,0,0,5230800,0,0,3283,1293.139
11198,7078,313.644,5528,65.52776,-150.938875,7/2/1990,9/10/1990,1371,32281.2,31062,0,0,1264500,0,0,0,0,0,0,1264500,0,0,7078,313.644
11655,7352,21.484,1852,65.599191,-150.797049,7/2/1990,9/10/1990,1371,32281.2,31062,0,0,84600,0,0,0,0,0,0,84600,0,0,7352,21.484
11474,7356,2464.384,26579,65.56954,-150.881628,7/2/1990,9/10/1990,1371,32281.2,31062,0,0,9976500,0,0,0,0,0,0,9976500,0,0,7356,2464.384
11240,7361,29481.663,55286,65.532549,-150.803188,7/2/1990,9/10/1990,1371,32281.2,31062,0,0,119320200,0,0,0,0,0,0,119320200,0,0,7361,29481.663
3063,3318,21.835,1369,63.607311,-152.763376,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,89100,0,0,0,0,0,0,89100,0,0,3318,21.835
3065,3320,28.05,2999,63.611398,-152.752129,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,114300,0,0,0,0,0,0,114300,0,0,3320,28.05
3076,3323,16.084,1227,63.614558,-152.727716,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,65700,0,0,0,0,0,0,65700,0,0,3323,16.084
3068,3325,19.496,1749,63.61309,-152.764487,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,78300,0,0,0,0,0,0,78300,0,0,3325,19.496
3127,3338,3.007,463,63.631542,-152.764831,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,12600,0,0,0,0,0,0,12600,0,0,3338,3.007
3121,3341,36.816,3319,63.630303,-152.755043,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,151200,0,0,0,0,0,0,151200,0,0,3341,36.816
3142,3344,0.937,285,63.635302,-152.754215,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,4500,0,0,0,0,0,0,4500,0,0,3344,0.937
3145,3346,0.459,194,63.635784,-152.74973,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,1800,0,0,0,0,0,0,1800,0,0,3346,0.459
3149,3347,0.699,237,63.637489,-152.80987,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,4500,0,0,0,0,0,0,4500,0,0,3347,0.699
3158,3363,418.398,14718,63.638716,-152.792099,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,1688400,0,0,0,0,0,0,1688400,0,0,3363,418.398
3242,3382,16.674,1573,63.661828,-152.758775,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,66600,0,0,0,0,0,0,66600,0,0,3382,16.674
3200,3388,462.459,12817,63.652966,-152.798275,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,1863900,0,0,0,0,0,0,1863900,0,0,3388,462.459
3233,3392,115.346,3723,63.659432,-152.781603,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,465300,0,0,0,0,0,0,465300,0,0,3392,115.346
3257,3394,3.104,793,63.665664,-152.776561,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,11700,0,0,0,0,0,0,11700,0,0,3394,3.104
3272,3400,9.574,844,63.669537,-152.728964,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,39600,0,0,0,0,0,0,39600,0,0,3400,9.574
3313,3440,1006.545,15306,63.677861,-152.675626,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,4073400,0,0,0,0,0,0,4073400,0,0,3440,1006.545
3358,3441,12.247,1357,63.685572,-152.563102,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,50400,0,0,0,0,0,0,50400,0,0,3441,12.247
3384,3447,0.992,292,63.690299,-152.558623,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,3600,0,0,0,0,0,0,3600,0,0,3447,0.992
3485,3500,0.995,290,63.711199,-152.537814,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,3600,0,0,0,0,0,0,3600,0,0,3500,0.995
3451,3503,628.97,9944,63.701338,-152.542681,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,2553300,0,0,0,0,0,0,2553300,0,0,3503,628.97
3489,3507,22.255,2753,63.712434,-152.523746,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,90000,0,0,0,0,0,0,90000,0,0,3507,22.255
3216,3510,13536.181,62442,63.654671,-152.671558,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,54771300,0,0,0,0,0,0,54771300,0,0,3510,13536.181
3505,3518,0.84,513,63.71625,-152.547421,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,2700,0,0,0,0,0,0,2700,0,0,3518,0.84
3520,3528,5.68,644,63.719105,-152.547128,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,23400,0,0,0,0,0,0,23400,0,0,3528,5.68
3474,3538,1176.118,17780,63.708016,-152.589259,7/15/1990,8/31/1990,1562,17544.9,31063,0,0,4762800,0,0,0,0,0,0,4762800,0,0,3538,1176.118
16990,9757,0.479,455,66.561278,-147.158356,6/27/1990,9/15/1990,684,287704,32018,0,0,900,0,0,0,0,0,0,900,0,0,9757,0.479
16988,9759,3.542,1779,66.5603,-147.150278,6/27/1990,9/15/1990,684,287704,32018,0,0,18000,0,0,0,0,0,0,18000,0,0,9759,3.542
17032,9767,0.684,567,66.56816,-147.113319,6/27/1990,9/15/1990,684,287704,32018,0,0,1800,0,0,0,0,0,0,1800,0,0,9767,0.684
17038,9769,0.358,467,66.570414,-147.138233,6/27/1990,9/15/1990,684,287704,32018,0,0,900,0,0,0,0,0,0,900,0,0,9769,0.358
17040,9770,0.484,627,66.57055,-147.129598,6/27/1990,9/15/1990,684,287704,32018,0,0,3600,0,0,0,0,0,0,3600,0,0,9770,0.484
17046,9772,0.805,389,66.569582,-147.098148,6/27/1990,9/15/1990,684,287704,32018,0,0,2700,0,0,0,0,0,0,2700,0,0,9772,0.805
17091,9782,2.589,994,66.581728,-147.073354,6/27/1990,9/15/1990,684,287704,32018,0,0,9900,0,0,0,0,0,0,9900,0,0,9782,2.589
17101,9786,2.767,1184,66.582315,-147.053829,6/27/1990,9/15/1990,684,287704,32018,0,0,10800,0,0,0,0,0,0,10800,0,0,9786,2.767
17144,9793,0.017,156,66.635143,-148.17207,6/27/1990,9/15/1990,684,287704,32018,0,0,900,0,0,0,0,0,0,900,0,0,9793,0.017
17150,9795,1.842,465,66.635439,-148.175314,6/27/1990,9/15/1990,684,287704,32018,0,0,9000,0,0,0,0,0,0,9000,0,0,9795,1.842
