FID,FID_prior_,FireName,FireYear,CalcAcres,DiscDate,parentid,FID_curr_f,FireName_1,FireYear_1,CalcAcre_1,DiscDate_1,parentid_1,pairid,ac,perim_m
3055,1,Spirit Lake,2000,97270.800000000003000,6/10/2000 0:00:00,1237,1,Sischu,2002,128974.500000000000000,6/5/2002 0:00:00,877,1029,1073.050000000000000,19576.070000000000000
3056,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1030,25967.380000000001000,88006.860000000001000
3057,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Moving River,2013,34175.699999999997000,6/22/2013 0:00:00,1839,1030,32097.840000000000000,124462.450000000000000
3058,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1,Moving River,2013,34175.699999999997000,6/22/2013 0:00:00,1839,1030,2077.809999999999900,19798.610000000001000
3059,1,TAL SE 80,1990,3353.599999999999900,7/6/1990 0:00:00,264,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1031,2893.020000000000000,35690.559999999998000
3060,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Sandless Lake,2013,59869.000000000000000,6/25/2013 0:00:00,1789,1031,59408.709999999999000,197952.260000000010000
3061,1,TAL SE 80,1990,3353.599999999999900,7/6/1990 0:00:00,264,1,Sandless Lake,2013,59869.000000000000000,6/25/2013 0:00:00,1789,1031,460.540000000000020,18022.290000000001000
3062,1,60 Mile,1986,1262.099999999999900,6/15/1986 0:00:00,731,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1032,933.190000000000050,9010.969999999999300
3063,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Porcupine,2004,284593.700000000010000,6/21/2004 0:00:00,1649,1032,284264.700000000010000,344660.179999999990000
3064,1,60 Mile,1986,1262.099999999999900,6/15/1986 0:00:00,731,1,Porcupine,2004,284593.700000000010000,6/21/2004 0:00:00,1649,1032,328.940000000000000,11763.590000000000000
3065,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1033,1037.819999999999900,19739.540000000001000
3066,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1033,21556.119999999999000,99738.710000000006000
3067,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,1,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,1033,6489.069999999999700,35817.440000000002000
3068,1,Sischu,2002,128974.500000000000000,6/5/2002 0:00:00,877,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1034,122743.880000000000000,146089.720000000000000
3069,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,1034,58185.440000000002000,108463.179999999990000
3070,1,Sischu,2002,128974.500000000000000,6/5/2002 0:00:00,877,1,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,1034,6230.640000000000300,48893.410000000003000
3071,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Billy Creek,2004,463993.900000000020000,6/18/2004 0:00:00,1061,1035,462080.590000000030000,452811.669999999980000
3072,1,Camp Lake,1997,1913.300000000000000,7/1/1997 0:00:00,865,1,Billy Creek,2004,463993.900000000020000,6/18/2004 0:00:00,1061,1035,1913.260000000000000,13849.290000000001000
3073,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1036,6737.510000000000200,32308.680000000000000
3074,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,John Hansen Lake,2002,25748.299999999999000,7/20/2002 0:00:00,961,1036,24958.910000000000000,92451.740000000005000
3075,1,JOHNHANSEN LAKE,1968,7526.899999999999600,8/9/1968 0:00:00,1734,1,John Hansen Lake,2002,25748.299999999999000,7/20/2002 0:00:00,961,1036,789.380000000000000,14122.719999999999000
