FID,FID_mxd14a,index,class11,class12,class21,class2197,class22,class23,class2600,class2601,class2602,class2603,class2604,class2605,class2606,class2607,class2608,class2609,class2610,class2611,class2612,class2631,class2633,class2634,class2635,class2636,class2740,class2745,class2751,class2753,class2757,class2763,class2773,class2776,class2777,class2782,class2786,class2793,class31,FireMask,MaxFRP,QA,count,latitude,longID,longitude,newdate,year,sample,FID_inters,FID_StudyF,Id,FID_firePe,FireName,FireYear,CalcAcres,PerimDate,PerimTime,AgencyAcre,Method,Source,SrcMethod,SrcClass,EditDate,Comments,FIREID,Final,LATESTPERI,Record_,FalseAlarm,Complex,AFSFire_,DOFFire_,USFSFire_,AddFire_,Prescribed,EstCost,EstAcres,StrThreat,StrBurned,MgmID,MgmOffId,MgmOption,Latitude_1,Longitud_1,MapName,NearestWX,OriginOwn,OriginUnit,DiscDate,DiscSize,IADate,IASize,CntrlDate,OutDate,InitBehave,PrimFuel,GenCause,SpecCause,Slope,Aspect,Elevation,AREA,LEN,junk,Region
893,818,2_+14711+2759,0, , ,0,0, ,16, ,95,2,627,19,0, , ,0,112,7,0, , , , , , ,0,0,1,1,0,0, ,0,0,81,0,0,9,3346,6,1,67.004166659999996,146939,-146.939926000000010,8/9/2003 0:00:00,2003,69,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
894,824,2_+14712+2759,0, , ,0,0, ,19, ,4,9,777,11,0, , ,0,121,4,0, , , , , , ,0,0,0,0,8,0, ,0,0,5,0,0,9,3370,6,1,67.004166659999996,146918,-146.918594799999990,8/9/2003 0:00:00,2003,68,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
895,830,2_+14713+2759,0, , ,0,0, ,2, ,0,1,890,3,0, , ,0,22,0,0, , , , , , ,0,0,0,0,33,0, ,0,0,11,0,0,9,2123,6,1,67.004166659999996,146897,-146.897263600000000,8/9/2003 0:00:00,2003,1275,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
896,836,2_+14714+2759,0, , ,0,0, ,15, ,1,6,899,14,0, , ,0,2,1,0, , , , , , ,0,10,0,0,13,0, ,0,0,0,0,0,9,2123,6,1,67.004166659999996,146875,-146.875932400000010,8/9/2003 0:00:00,2003,1275,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
897,547,2_+14675+2758,0, , ,0,0, ,623, ,5,86,104,21,0, , ,6,3,0,0, , , , , , ,0,18,0,0,87,0, ,0,0,6,0,0,9,2062,6,1,67.012499989999995,147758,-147.758489400000000,8/4/2003 0:00:00,2003,726,119,0,0,845,Venetie,1950,600995.699999999950000,11/1/1950 0:00:00,1950/11/01 14:00,0.000000000000000, ,Digitized,Image, ,11/6/2008 0:00:00,Perimeter partially modified from 1999 Landsat image P69 R13.,27656,No,Yes, , , ,70, , , , ,0.000000000000000,295800.000000000000000,0,0, ,FAI, ,67.000000000000000,-146.500000000000000, , , , ,5/24/1950 0:00:00,0.000000000000000,,0.000000000000000,,9/28/1950 0:00:00, , , ,Lightning, , , ,0.501934372000000,15.899458051000000,1,Hadweenie
898,547,2_+14675+2758,0, , ,0,0, ,623, ,5,86,104,21,0, , ,6,3,0,0, , , , , , ,0,18,0,0,87,0, ,0,0,6,0,0,9,2062,6,1,67.012499989999995,147758,-147.758489400000000,8/4/2003 0:00:00,2003,726,120,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
899,559,2_+14676+2758,0, , ,0,0, ,530, ,4,91,223,83,0, , ,0,0,0,2, , , , , , ,0,0,0,0,29,0, ,0,0,0,0,0,8,604,6,1,67.012499989999995,147737,-147.737150899999990,7/25/2003 0:00:00,2003,1017,119,0,0,845,Venetie,1950,600995.699999999950000,11/1/1950 0:00:00,1950/11/01 14:00,0.000000000000000, ,Digitized,Image, ,11/6/2008 0:00:00,Perimeter partially modified from 1999 Landsat image P69 R13.,27656,No,Yes, , , ,70, , , , ,0.000000000000000,295800.000000000000000,0,0, ,FAI, ,67.000000000000000,-146.500000000000000, , , , ,5/24/1950 0:00:00,0.000000000000000,,0.000000000000000,,9/28/1950 0:00:00, , , ,Lightning, , , ,0.501934372000000,15.899458051000000,1,Hadweenie
900,559,2_+14676+2758,0, , ,0,0, ,530, ,4,91,223,83,0, , ,0,0,0,2, , , , , , ,0,0,0,0,29,0, ,0,0,0,0,0,8,604,6,1,67.012499989999995,147737,-147.737150899999990,7/25/2003 0:00:00,2003,1017,120,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
901,573,2_+14677+2758,0, , ,0,0, ,538,3,8,66,270,55,0, , ,0,0,0,2, , , , , , ,0,0,0,0,19,0, ,0,0,1,0,0,8,604,6,1,67.012499989999995,147715,-147.715812400000000,7/25/2003 0:00:00,2003,1017,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
902,583,2_+14678+2758,0, , ,0,0, ,593, ,0,77,129,73,0, , ,0,0,0,0, , , , , , ,0,0,0,0,85,0, ,0,0,2,0,0,9,958,6,1,67.012499989999995,147694,-147.694473899999990,7/25/2003 0:00:00,2003,1018,19,0,0,1318,Hadweenzic,2003,192474.700000000010000,6/26/2003 0:00:00,2003/06/26 00:00,0.000000000000000, , , , ,10/21/2004 0:00:00, ,1217, ,Yes,346, , ,B346, ,P00346, , ,0.000000000000000,192488.799999999990000,0,0,AFS,UYD,LIMITED,67.000000000000000,-147.300000000000010,BEAVER D-1, ,FWS,YKF,6/24/2003 0:00:00,50.000000000000000,,0.000000000000000,9/8/2003 0:00:00,9/8/2003 0:00:00,Crowning,Black Spruce,Lightning,Lightning, , , ,0.159716705000000,3.587051422000000,1,Hadweenie
