FID,name,year,acres,date,parentid
1476,Rodo River,2004,8715.7,7/16/2004 0:00,1476
1477,BILLY LAKE,1995,1033.6,6/12/1995 0:00,1477
1478,Hog Head,1999,2140.8,7/12/1999 0:00,1478
1479,131655,1991,28013.9,7/3/1991 0:00,1479
1480,132376,1991,55978.3,6/22/1991 0:00,1480
1481,KOKHILA HILLS,1997,36546.2,6/8/1997 0:00,1481
1482,BEAR MT,1971,86912.4,6/24/1971 0:00,1482
1483,FYU W 84,1990,4174.2,7/5/1990 0:00,1483
1484,31058,1990,2323.2,7/5/1990 0:00,1484
1485,31039,1990,2720.7,7/5/1990 0:00,1485
1486,Highpower Creek,2005,115877.6,6/14/2005 0:00,1486
1487,BTT W 31,1990,2159,7/5/1990 0:00,1487
1488,TAL SW 83,1993,4990.6,6/4/1993 0:00,1488
1489,TAL S 27,1993,7377.7,7/16/1993 0:00,1489
1490,DUNE LAKE,1993,2578,7/15/1993 0:00,1490
1491,331573,1993,3282.9,7/16/1993 0:00,1491
1492,Coleen,2007,20937.1,7/9/2007 0:00,1492
1493,31006,1990,7312.2,5/27/1990 0:00,1493
1494,TAL N 25,1993,28199.5,6/30/1993 0:00,1494
1495,Indian Grave Creek,2004,26609.9,6/17/2004 0:00,1495
1496,Wolf,2005,8981.9,8/2/2005 0:00,1496
1497,Graham,2002,7274.8,6/20/2002 0:00,1497
1498,Deadman Island,1996,34912.1,6/19/1996 0:00,1498
1499,42 Mile Creek,1996,39091.1,6/19/1996 0:00,1499
1500,FYU NE 47,1987,7468.9,7/11/1987 0:00,1500
1501,FYU S 39,1987,7876.8,7/13/1987 0:00,1501
1502,CEM W 44,1987,8774.6,7/14/1987 0:00,1502
1503,Colorado,1986,1530.8,7/4/1986 0:00,1503
1504,MILITARY #8,1990,25599.7,7/5/1990 0:00,1504
1505,EAA NW 50,1993,2259.5,7/3/1993 0:00,1505
1506,SHAWNEE,1990,9839.2,7/9/1990 0:00,1506
1507,60 MILE BUTTE,1990,1085.4,7/4/1990 0:00,1507
1508,Big Creek,2000,1980.8,7/10/2000 0:00,1508
1509,IAN NW 30,1991,8922.7,7/2/1991 0:00,1509
1510,Dennison Fork,1995,1702.7,5/12/1995 0:00,1510
1511,INOWAK,1997,492690.9,6/25/1997 0:00,1511
1512,Kalyuh Hill,2005,8958.8,7/29/2005 0:00,1512
1513,KATLITNA,1985,8105.3,8/3/1985 0:00,1513
1514,Twin,1991,12725.6,6/30/1991 0:00,1514
1515,Mooseheart,2007,21508.3,5/23/2007 0:00,1515
1516,Bear Creek,2005,5206.8,6/10/2005 0:00,1516
1517,CEM W 26,1990,8610.7,7/4/1990 0:00,1517
1518,Minto Flats South,2009,534911,6/21/2009 0:00,1518
1519,Nekakte,2012,6297.8,6/7/2012 0:00,1519
1520,Billy Creek,2013,11993.6,6/22/2013 0:00,1520
1521,Lunch Lake,2009,8035.1,6/20/2009 0:00,1521
1522,PUFF,1972,7012.3,7/14/1972 0:00,1522
1523,Kenai,1947,318091,6/3/1947 0:00,1523
1524,Moon Lake,2013,24391.3,6/25/2013 0:00,1524
1525,Aggie Creek,1981,13281.3,6/14/1981 0:00,1525
1526,Hard Luck,1981,1776.4,6/16/1981 0:00,1526
1527,BETTLES W-40,1957,85063.2,7/5/1957 0:00,1527
1528,Kanuti River,2009,3225.2,7/31/2009 0:00,1528
1529,Ft. Hamlin Hills,2009,4293.3,7/30/2009 0:00,1529
1530,South Boney,2009,7883.5,7/6/2009 0:00,1530
1531,Big Lake,2009,2908.7,5/25/2009 0:00,1531
1532,CROOKED CREEK,1957,1576.9,6/6/1957 0:00,1532
1533,Gagaryah,2009,7306.5,7/2/2009 0:00,1533
1534,Bear Lake,2009,3344.8,6/19/2009 0:00,1534
1535,FYU NE 10,1979,3783.1,7/17/1979 0:00,1535
1536,Nelson Mountain,2005,242687.9,6/13/2005 0:00,1536
1537,FYU W 82,1979,233556.6,7/19/1979 0:00,1537
1538,FYU NNW 87,1979,2868.3,7/19/1979 0:00,1538
1539,Unknown001,1974,8363.9,8/6/1974 0:00,1539
1540,OTZ N 55,1988,14291.9,7/6/1988 0:00,1540
1541,Unknown001,1972,2281.5,7/13/1972 0:00,1541
1542,STRAIGHT CREEK,1972,3878.7,7/11/1972 0:00,1542
1543,Tozitna River,2009,5092.1,6/13/2009 0:00,1543
1544,TAL SW 53,1990,4538.9,6/25/1990 0:00,1544
1545,GAL S 57,1991,2035.5,6/28/1991 0:00,1545
1546,GALSW28,1993,1280.5,7/22/1993 0:00,1546
1547,Crazy Mountain,1953,16706.2,6/3/1953 0:00,1547
1548,Sawtooth Mtn. #1,1953,1643.6,7/29/1953 0:00,1548
1549,YUKON FLATS #1,1959,44596.7,6/25/1959 0:00,1549
1550,CABIN,1971,6473.8,6/21/1971 0:00,1550
1551,TAL S 27,1994,7351.3,6/6/1994 0:00,1551
1552,POCAHONTAS,1968,129867,7/29/1968 0:00,1552
1553,Oklahoma 2,2009,38398.3,5/1/2009 0:00,1553
1554,22 Mile Village,1951,53481.5,7/2/1951 0:00,1554
1555,Christian River Fire,1951,18997.4,7/2/1951 0:00,1555
1556,Kaluktavik River,2010,19598.4,7/2/2010 0:00,1556
1557,DENALI,1982,10552.2,7/4/1982 0:00,1557
1558,204005,1982,2058.2,7/8/1982 0:00,1558
1559,MHM SE 16,1993,3204.7,6/13/1993 0:00,1559
1560,TAL SE 87,1990,25084.4,7/14/1990 0:00,1560
1561,631010,1986,56228.7,7/4/1986 0:00,1561
1562,31063,1990,17544.9,7/15/1990 0:00,1562
1563,31060,1990,49142.2,7/4/1990 0:00,1563
1564,TAL SE 92,1990,44216.3,6/30/1990 0:00,1564
1565,131492,1991,14644.4,6/27/1991 0:00,1565
1566,SANDS NE-15,1959,108595.4,6/23/1959 0:00,1566
1567,Franklin Creek,2009,19984.2,6/12/2009 0:00,1567
1568,Winter Trail,2009,2308.3,6/17/2009 0:00,1568
1569,ROGERS,1967,28675,6/16/1967 0:00,1569
1570,Kenai Lake,1959,6292.5,6/10/1959 0:00,1570
1571,UNION CREEK,1967,1875.9,6/19/1967 0:00,1571
1572,TAYLOR MT,1967,5428.4,6/14/1967 0:00,1572
1573,Pat Creek,2010,72691.7,6/25/2010 0:00,1573
1574,Feniak,2012,1566.8,7/4/2012 0:00,1574
1575,Big Creek,2009,169638.7,7/18/2009 0:00,1575
1576,Muddy Lake,2009,3993.7,7/18/2009 0:00,1576
1577,Ladue,2007,19246,6/19/2007 0:00,1577
1578,Shanta Creek,2009,13212.2,6/30/2009 0:00,1578
1579,PAIMIUT,1997,3459,7/22/1997 0:00,1579
1580,Slokenjikh River,2010,10682.1,5/29/2010 0:00,1580
1581,Turquoise Lake,2010,91885.4,5/17/2010 0:00,1581
1582,Hawk River,2010,10066.5,5/31/2010 0:00,1582
1583,Ungalik River,1997,1181,6/8/1997 0:00,1583
1584,Montana Creek,2010,6036.4,6/23/2010 0:00,1584
1585,MULCHATNA,1993,1028.2,7/19/1993 0:00,1585
1586,S.E. NORTHWAY,1954,4665.1,8/10/1954 0:00,1586
1587,Yuko River,1953,2208.3,7/28/1953 0:00,1587
1588,Kotol River,1953,11192.4,7/28/1953 0:00,1588
1589,CDL E 14,1977,139152.5,7/24/1977 0:00,1589
1590,FLUTE,1970,1125.4,7/4/1970 0:00,1590
1591,Carla Lake,1998,54432.2,5/21/1998 0:00,1591
1592,Twomile Creek,2010,4244.9,5/29/2010 0:00,1592
1593,Hog River,2010,1111.3,6/10/2010 0:00,1593
1594,UNKESE31,1993,1628.7,7/22/1993 0:00,1594
1595,REINDEER,1997,35480.2,7/22/1997 0:00,1595
1596,Navashak Lake East,2010,8664.4,7/3/2010 0:00,1596
1597,Gagaryah #2,2009,19690.1,7/3/2009 0:00,1597
1598,Cheeneetnuk,2009,37527.4,7/2/2009 0:00,1598
1599,Caribou Hills,2007,55437.8,6/19/2007 0:00,1599
1600,Blueberry,1986,10279.2,6/15/1986 0:00,1600
1601,SWAMP,1971,10460.5,6/28/1971 0:00,1601
1602,JOHN HANSEN,1969,92979.1,6/23/1969 0:00,1602
1603,Kazakof Bay,1996,1010.8,5/9/1996 0:00,1603
1604,BTT SS 53,1991,17102.4,7/1/1991 0:00,1604
1605,Waldron Creek,2004,7022,7/9/2004 0:00,1605
1606,Nabesna River Fire,1948,6224,6/13/1948 0:00,1606
1607,12 Mile Slana River,1948,2115.6,7/7/1948 0:00,1607
